,Age Group,Sex,Avg hrs per day sleeping,Rank
856,55 to 64 years,Women,8.3,33.0
857,55 to 64 years,Women,8.35,30.0
858,55 to 64 years,Women,8.47,24.0
859,55 to 64 years,Women,8.2,40.0
860,55 to 64 years,Women,8.29,34.0
861,55 to 64 years,Women,8.49,22.0
862,55 to 64 years,Women,8.49,22.0
863,55 to 64 years,Women,8.54,19.0
864,55 to 64 years,Women,8.61,17.0
865,55 to 64 years,Women,8.46,26.0
866,55 to 64 years,Women,8.51,20.0
867,55 to 64 years,Women,8.63,16.0
868,55 to 64 years,Women,8.61,17.0
869,55 to 64 years,Women,8.51,20.0
870,55 to 64 years,Women,8.93,9.0
871,55 to 64 years,Women,8.79,13.0
872,55 to 64 years,Women,8.78,14.0
873,55 to 64 years,Women,8.83,12.0
874,55 to 64 years,Women,8.76,15.0
875,55 to 64 years,Women,8.88,10.0
876,55 to 64 years,Women,9.02,6.0
877,55 to 64 years,Women,9.03,5.0
878,55 to 64 years,Women,8.97,8.0
879,55 to 64 years,Women,9.04,3.0
880,55 to 64 years,Women,8.84,11.0
881,55 to 64 years,Women,9.05,2.0
882,55 to 64 years,Women,9.02,6.0
883,55 to 64 years,Women,9.09,1.0
884,55 to 64 years,Women,9.04,3.0
885,55 to 64 years,Women,8.17,41.0
886,55 to 64 years,Women,8.1,43.0
887,55 to 64 years,Women,8.17,41.0
888,55 to 64 years,Women,8.32,32.0
889,55 to 64 years,Women,7.98,45.0
890,55 to 64 years,Women,8.04,44.0
891,55 to 64 years,Women,8.27,38.0
892,55 to 64 years,Women,8.27,38.0
893,55 to 64 years,Women,8.35,30.0
894,55 to 64 years,Women,8.44,27.0
895,55 to 64 years,Women,8.29,34.0
896,55 to 64 years,Women,8.29,34.0
897,55 to 64 years,Women,8.47,24.0
898,55 to 64 years,Women,8.4,28.0
899,55 to 64 years,Women,8.29,34.0
900,65 years and over,Women,8.84,35.0
901,65 years and over,Women,8.93,27.0
902,65 years and over,Women,8.95,24.0
903,65 years and over,Women,8.82,38.0
904,65 years and over,Women,8.91,29.0
905,65 years and over,Women,8.94,25.0
906,65 years and over,Women,8.96,22.0
907,65 years and over,Women,9.04,16.0
908,65 years and over,Women,9.09,12.0
909,65 years and over,Women,8.87,33.0
910,65 years and over,Women,8.9,31.0
911,65 years and over,Women,9.02,17.0
912,65 years and over,Women,8.97,20.0
913,65 years and over,Women,8.97,20.0
914,65 years and over,Women,8.91,29.0
915,65 years and over,Women,9.18,7.0
916,65 years and over,Women,9.05,15.0
917,65 years and over,Women,9.28,4.0
918,65 years and over,Women,8.94,25.0
919,65 years and over,Women,9.13,9.0
920,65 years and over,Women,9.31,1.0
921,65 years and over,Women,9.21,6.0
922,65 years and over,Women,9.22,5.0
923,65 years and over,Women,9.29,3.0
924,65 years and over,Women,9.06,13.0
925,65 years and over,Women,9.06,13.0
926,65 years and over,Women,9.13,9.0
927,65 years and over,Women,9.3,2.0
928,65 years and over,Women,9.1,11.0
929,65 years and over,Women,9.15,8.0
930,65 years and over,Women,8.7,45.0
931,65 years and over,Women,8.88,32.0
932,65 years and over,Women,8.81,40.0
933,65 years and over,Women,8.77,44.0
934,65 years and over,Women,8.82,38.0
935,65 years and over,Women,8.79,42.0
936,65 years and over,Women,8.86,34.0
937,65 years and over,Women,8.96,22.0
938,65 years and over,Women,9.02,17.0
939,65 years and over,Women,8.79,42.0
940,65 years and over,Women,8.83,36.0
941,65 years and over,Women,8.98,19.0
942,65 years and over,Women,8.83,36.0
943,65 years and over,Women,8.92,28.0
944,65 years and over,Women,8.81,40.0
